key,label,code,severity
start,Starter code ignored,S_s,high
method,Method 8 is mentioned,W_i,high
white,White-on-white not mentioned,S_o,medium
pieces,Incorrect piece pattern,S_i,low
extra,Unexpected modifications,I_o,low
style,Changed board color,I_s,low
