# Found            : 1141
# MISSING          : 45
# EXTRA            : 20
# Follow (E)       : 94.4 %
>	12:08:38.353
<	12:08:38.363
/	12:08:38.373
div	12:08:38.403
>	12:08:38.413
<	12:08:38.433
div	12:08:38.463
class	12:08:38.523
=	12:08:38.533
"	12:08:38.543
cell	12:08:38.583
dark	12:08:38.633
"	12:08:38.643
>	12:08:38.653
<	12:08:38.663
/	12:08:38.673
div	12:08:38.703
>	12:08:38.713
<	12:08:38.733
div	12:08:38.763
class	12:08:38.823
=	12:08:38.833
"	12:08:38.843
cell	12:08:38.883
light	12:08:38.943
"	12:08:38.953
>	12:08:38.963
<	12:08:38.973
/	12:08:38.983
div	12:08:39.013
>	12:08:39.023
<	12:08:39.043
div	12:08:39.073
class	12:08:39.133
=	12:08:39.143
"	12:08:39.153
cell	12:08:39.193
dark	12:08:39.243
"	12:08:39.253
>	12:08:39.263
<	12:08:39.273
/	12:08:39.283
div	12:08:39.313
>	12:08:39.323
<	12:08:39.343
div	12:08:39.373
class	12:08:39.433
=	12:08:39.443
"	12:08:39.453
cell	12:08:39.493
light	12:08:39.553
"	12:08:39.563
>	12:08:39.573
<	12:08:39.583
/	12:08:39.593
div	12:08:39.623
>	12:08:39.633
<	12:16:03.116
img	12:16:03.540
src	12:16:04.182
=	12:16:04.383
"	12:16:04.513
pieces	12:16:05.490	MISSING
/	12:16:05.559
p2	12:16:05.801
.	12:16:05.913
png	12:16:06.497
"	12:16:06.657
/	12:16:06.943
>	12:16:07.243
img	12:17:42.332
{	12:17:43.944
}	12:17:44.771
width	12:17:46.547
:	12:17:46.642
50	12:20:14.705
%	12:20:15.067
;	12:20:15.756
display	12:24:00.258	MISSING
:	12:24:00.330	MISSING
flex	12:24:01.038	MISSING
;	12:24:01.089	MISSING
align	12:24:02.090	MISSING
-	12:24:02.167	MISSING
items	12:24:02.854	MISSING
:	12:24:02.925	MISSING
center	12:24:03.906	MISSING
;	12:24:04.138	MISSING
justify	12:24:05.215	MISSING
-	12:24:05.313	MISSING
content	12:24:06.156	MISSING
:	12:24:06.199	MISSING
center	12:24:07.000	MISSING
;	12:24:07.221	MISSING
<	12:25:35.200	MISSING
img	12:25:35.614	MISSING
src	12:25:36.077	MISSING
=	12:25:36.163	MISSING
"	12:25:36.284	MISSING
pieces	12:25:36.945	MISSING
/	12:25:37.107	MISSING
p5	12:25:37.336	MISSING
.	12:25:37.455	MISSING
png	12:25:37.839	MISSING
"	12:25:37.915	MISSING
/	12:25:38.278	MISSING
>	12:25:38.438	MISSING
class	12:26:40.137	MISSING
=	12:26:40.349	MISSING
"	12:26:40.406	MISSING
invert	12:26:41.264	MISSING
-	12:26:41.305	MISSING
color	12:26:42.154	MISSING
"	12:26:42.352	MISSING
.	12:26:59.213
invert	12:27:00.293
-	12:27:00.514
color	12:27:01.097
{	12:27:01.630
}	12:27:01.824
filter	12:27:03.521
:	12:27:03.624
invert	12:27:04.621
(	12:27:04.730
100	12:27:05.245
%	12:27:05.347
)	12:27:05.426
;	12:27:05.639
<	12:32:49.891
script	12:32:51.384
>	12:32:51.626
<	12:32:56.391
/	12:32:56.665
script	12:32:57.709
>	12:32:57.900
function	12:33:12.903
handleClick	12:33:15.189
(	12:33:15.589
element	12:33:31.280
)	12:33:31.506
{	12:33:31.963
}	12:33:32.526
element	12:35:29.854
.	12:35:29.918
style	12:35:30.684
.	12:35:30.708
border	12:35:31.651
=	12:35:31.979
"	12:35:32.153
4px	12:35:32.780
solid	12:35:33.773
red	12:35:34.503
"	12:35:34.724
;	12:35:34.812
const	12:37:48.715
cells	12:37:50.791
=	12:37:51.741
document	12:37:53.239
.	12:37:53.353
getElementsByClassName	12:37:56.278
(	12:37:56.528
"	12:37:56.625
cell	12:37:57.315
"	12:37:57.342
)	12:37:57.421
;	12:37:57.967
console	12:38:39.938
.	12:38:40.020
log	12:38:40.505
(	12:38:40.640
cells	12:38:41.433
)	12:38:41.626
;	12:38:41.842
for	12:40:04.800
(	12:40:05.203
const	12:40:06.186
cell	12:40:07.141
of	12:40:07.700
cells	12:40:08.982
)	12:40:09.100
{	12:40:09.697
}	12:40:10.504
cell	12:41:01.994
.	12:41:02.157
onclick	12:41:03.120
=	12:41:03.570
handleClick	12:41:05.134
(	12:41:05.326
cell	12:41:05.940
)	12:41:06.025
;	12:41:06.130
function	12:42:53.629
(	12:42:53.778
)	12:42:54.059
{	12:42:54.497
}	12:42:55.817
;	12:42:56.119
/	12:43:01.602	COMMENT	MISSING
/	12:43:01.759	COMMENT	MISSING
anonymous	12:43:03.024	COMMENT
function	12:43:04.046	COMMENT
for	12:45:10.759
(	12:45:10.951
const	12:45:11.606
cell	12:45:12.088
of	12:45:12.446
cells	12:45:13.133
)	12:45:13.304
{	12:45:13.433
}	12:45:14.115
cell	12:45:15.612
.	12:45:15.654
style	12:45:16.268
.	12:45:16.371
border	12:45:17.066
=	12:45:17.426
"	12:45:17.580
"	12:45:17.718
;	12:45:17.816
"	12:49:43.795	EXTRA*
;	12:49:44.003	EXTRA*
)	12:49:44.302	EXTRA*
this	12:49:45.208	EXTRA*
(	12:49:45.400	EXTRA*
handleClick	12:49:47.595	EXTRA*
"	12:49:47.810	EXTRA*
=	12:49:48.009	EXTRA*
onclick	12:49:49.458	EXTRA*
selectedPiece	12:51:24.571
=	12:51:25.051
null	12:51:25.997
;	12:51:26.172
if	12:52:09.187
(	12:52:09.526
selectedPiece	12:52:11.048
!	12:52:11.221
=	12:52:11.422
null	12:52:12.167
)	12:52:12.282
{	12:52:13.202
}	12:52:13.907
element	12:52:17.350
.	12:52:17.520
replaceChildren	12:52:19.891
(	12:52:20.134
selectedPiece	12:52:27.102
)	12:52:27.322
;	12:52:27.519
selectedPiece	12:52:30.641
=	12:52:30.798
null	12:52:31.700
;	12:52:31.752
else	12:53:21.083
if	12:53:21.591
(	12:53:21.914
element	12:53:22.881
.	12:53:23.171
children	12:53:24.251	MISSING
.	12:53:24.441
length	12:53:25.380
>	12:53:25.564
0	12:53:25.976
)	12:53:26.161
{	12:53:26.816
selectedPiece	12:53:29.626
=	12:53:29.829
element	12:53:30.892
.	12:53:31.019
